,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
abide,0,23,8,2,25,9,0,4,54,4,11,496,1,134,2,2,44,3,2,1,7,967205,2,360,628,0,0,156,11842,9,2828,162,4,232,118,1,17,26,27,1,1,31,29588,29,1,3,239,7,24,0,4542,118
accord,0,392,17,36,1463,116,15,49,54,22,192,3186,11,1711,18,297,1000,49,4,940,13,955,95,501,6638,0,4,1608,6666,365,1360,2754,137,2837,261,20,4,316,762,12,0,220,12457,22,8,29,172,192,32,42,42211,1896
account,0,20091,2215,2707,82794,2129,649,4672,524,426,8021,196561,905,180613,7272,117089,83292,1147,1227,3928,778,66731,8141,19547,2445608,2,183,147543,474595,23122,97022,765582,6999,494628,8976,2129,16958,13967,31356,1477,93,26271,1013002,2553,235,951,23316,18001,1635,2174,680183,60376
ache,0,655,33,74,4955,15,11,94,9,0,315,2209,6,2469,113,54,515,197,26,180,20,649,318,461,16507,0,2,7791,16085,106,764,5465,69,1890,232,6,1,182,667,4,1,138,8378,32,5,40,113,64,22,58,3419,202
act,0,10755,3509,555,17016,83902,327,1974,869,266,35151,1553026,373,43443,591,3385,23700,2093,192,19008,1957,54073,2110,12964,113356,2,152,28642,685250,6616,40755,2253878,3812,744146,20062,381,430,233117,7161,247,81,10005,238001,161169,6082,27669,12673,70108,85239,4269,137116,34025
add,2,72506,1110,287,12485,498,65,1685,158,541,9738,104836,745,58614,3900,157197,9013,332,953,2609,2788,7593,1894,44061,112420,22,383,21298,1505930,41610,1446477,8510,2037,769293,359990,102307,3463,2166,7623,745,354,2150,3501284,13871,243,1390,2041,1211228,2159,7464,24092,4665
adhere,0,11,4,8,40,10,0,8,0,1,56,1235,0,358,1,37,44,4,0,8,2,2093,21,127,239,0,0,78,601,35,2367,17,2,296,71,49,0,10,59,5,3,28,697057,154,4,57,24,7,16,22,1689,131
adjourn,0,0,0,2,30,0,0,0,0,0,2,19,0,72,0,6,53,0,0,3,2,25,0,1,641,0,0,300,61,3,93,1,0,40,5,0,0,0,7,0,0,1,927,2,0,0,2,2,0,0,19,40
admit,0,2647,238,24,4371,97,72,48,57,34,323,15214,67,10417,16,420,2695,69,145,197,54,2213,53,6583,8696,2,6,2413,22245,1572,1403362,5544,202,10437,7016,11,64,1924,907,364,16,343,775841,20,18,137,606,1457,130,129,4308,1344
agree,0,554503,386,1084,9079,816,1187,561,1544,849,515,76048,479,58889,67,532,5371,156,201,1474,260,6924,323,12373,98493,3,31,10061,175762,326,1103817,7603,265,2089822,13292,66,433,1307,2815,193,78,876,2694788,1578,33,236,1341,5437,55159,1033,23615765,6284
aim,0,1597,4274,599,3674,2128,2078,410,68,53,4501,23738,151,240398,4407,3379,4928,1889,1625,2658,434,8004,53273,3827,1046214,3,556,9379,68540,3059,67297,171113,8197,43409,2315,924,94,2032,3960,702,52,3404,590051,172,2840,15415,1334,13949,69,2005,98745,6027
alight,0,24,9,11,144,35,2,15,2,5,25,460,0,1908,1,17,219,13,0,11,2,785,16,55,718,0,2,666,1992,22,108,56,14,1086,45,15,0,18,53,2,0,36,798,7,1,2,39,13,313,6,4456,67
allow,0,2117,252,87,1010,109,8,43,39,4,1041,18594,10,17758,195,1443,1320,53,175,540,80,1432,746,10736,1575046,7,452,2730,40631,6346,1104945,1734,1824,16530,111778,330,11059,2648,2376,573,105,2040,185595,17,6,36,2166,19122,38,1037,1898,1285
amount,1,42493,8332,1632,15143,2087,928,1019,535,200,3417,147662,1175,53942,2658,18834,21323,1130,2805,6602,912,35633,5718,9526,317761,1,244,72207,287722,25578,64856,30380755,14600,164100,4607,1642,263,14770,32333,740,35,5568,774802,564,1188,4755,5336,9952,691,437,41036,12330
angle,0,2927,1924,1459,4042,4507,80,969,101,104,2707,64823,349,46574,3488,2569,11489,2696,744,24906,231,9110,5673,2944,87771,1,722,47993,67191,7130,68401,426401,3750,107155,2849,637,188,4674,3947,282,54,2765,218416,235,1631,6231,1285,5888,220,576,54607,5902
answer,0,80138,16883,607,21076,3264,833,3418,1141,632,2746,241542,1472,75297,1572,31803,40175,1076,11759,1979,3952,78822,3771,17337,859707,7,67,208118,321476,4942,326942,108873,6686,238510,41406,256,586,27649,8996,396,188,5609,3958597,1360,174,1073,2623,4486,373,1181,170133,54914
argue,0,515133,507,151,2922,553024,65,1222,1156,34,3369,22638,93,20299,3280,28804,2310,174,295,1950,840,7306,1379,12154,342272,15,53,34140,121719,633,399341,2152,466,66351,14762,13,126,3084,116421,1282,147,1456,51725,140,152,668,920,1285,285,532,1590131,11071
arrive,0,2711,74,111,12739,41,351,458,41,3,7005,12601,9,495077,5,10760,24870,250,24,3136,36,25444,227,1293,19111,1,4,20296,203765,2386,3437,620,294,95384,1730,157,52,1340,1236,182,21,1644,88078,1943,31,198,389,572,610,665,31598,3213
arse,0,10684,45,236,2184,389,5,221,7,76,1111,5896,20,5795,208,1607,1565,3214,16,55,11,3601,1506,583,18908,2,23,5380,16702,2112,4741,12153,28261,11402,626,148,119,6445,3754,31,78,528,34202,65,15,230,106,2504,51,310,15779,1355
ask,0,1245666,568,116,16362,344,4557,609,292,67,266575,69969,158,86984,105232,4596,66488,248,1035,846,441,5672,452,7698,7928024,12,30,80235,397861,627,266029,137789,3659,135552,124669,19,8702,89520,32449,389,289,2128,1039997,212,48,196,1253,3255,521,2514,16605,9381
associate,0,1064,30,31,508,82,3,47,45,8,154,5580,35,13338,56,223,448,94,19,192,27,795,126,488,6973,0,16,1628,13081,345,109868,24248,116,2537,2375,4,146,352,530,86,24,212,16793,593,4,29,310,197,27,59,544557,445
attend,0,755,15,36,2341,105,28,218,15,11,279,15646,31,11853,281,216,1564,24,9,178,62,1805,42,2081,14516,0,2,1491,17414,69,14073,407,127,14292,28120,2,892,953,659,52,28,305,133857,1155,7,9,318,237,193,109,9879,3458
auction,0,536,44,33,1485,119,15,157,53,7,253,3011,9,7293,94,387,1303,23,98,257,9,1862,239,320,33617,0,7,1952,11120,107,12929,6015,15936,9581,660,7,131,410,708,12,129,303,11218,44,7,28,139,709,14,62,7904,798
average,0,97460,5031,14432,9602,10050,90,465,5448,299,65933,58871,335,235817,741,6103,8621,466,3059,21706,178,27345,38073,9588,338087,14,838,31900,291345,3158,65036,851532,2029,86682,32841,34,1250,75125,60206,412,2566,2329,206650,801,149,751,4911,16631,152,4879,58617,7393
awaken,0,62,55,16,771,32,6,40,16,1,98,2412,10,2308,12,122,589,5,4,48,29,2891,17,240,1888,0,0,6997,7971,2295,7636,192,30,1977,2354,16,3,177,73,40,0,206,14562,51,2,13,62,170,50,14,2581,341
back,4,178088,11089,35409,570796,192660,2508,21143,2246,4314,289644,847463,1041,2222777,156643,32781,356460,48944,7284,17288,4014,497189,1173756,91426,1679300,3038,6580,2732831,14069450,3470408,1044206,4519394,741081,4281788,96785,163705,17769,1043937,270984,9264,14456,225695,23967456,668644,40318,147686,89783,4849266,13534,30341,1472555,108502
bag,0,5775,1063,1626,18971,2091,262,4686,374,611,17285,61382,655,73438,5808,12485,25276,4277,606,3615,137,16428,13773,4894,269430,2,154,77934,237215,22175,57632,1728293,16322,160906,7509,3351,7548,32789,58074,197,1636,4314,188151,2719,173,666,10811,21959,540,1018,231618,14221
bail,0,211,42,23,7489,82,42,50,7,4,224,4978,9,9849,103,1083,5711,59,26,70,27,1601,216,643,16632,0,38,7417,10389,825,4167,3334,1948,80690,268,270,153,172302,864,7,6,218,9813,68,11,52,291,331,76,88,3641,1987
balance,0,1680,1611,5114,13492,14079,162,1107,3194,82,35626,52246,1728,47705,1533,14499,16158,569,1199,485174,508,34789,5590,7064,131520,1,1022,26325,292856,7657,319198,820272,16983,146670,7322,739,216,335378,13083,529,326,4827,269937,638,1479,5034,2095,5184,722,1734,95650,11720
bale,0,187,46,21,677,219,72,46,31,34,174,9956,35,5119,85,1244,576,134,40,47,4,431,212,541,7848,0,13,2427,15837,440,1218,9665,490,6930,605,46,61,2295,932,5,10,102,14559,105,6,21,159,1038,6,60,2769,272
ball,2,12012,4082,10422,48506,28538,1618,3409,446,560,92019,110745,486,236533,106630,161399,47703,10332,1135,13831,1247,45991,75349,17965,210562,9,34136,141030,681659,127747,48861,464957,72574,351707,16219,5391,677,216533,139169,10586,1778,37375,555131,2875,2451,12073,16960,131655,539,12977,314908,21857
balls,0,9652,981,4396,15789,6167,341,1396,234,454,14038,43793,339,85262,5184,16743,15863,2837,821,4817,202,17498,10258,4833,132642,7,2172,51484,265637,38631,18469,253238,90104,162828,3420,2156,595,102075,20255,777,158,11125,893235,2971,287,1223,4063,25091,303,1381,84096,6736
band,1,4594,1207,2813,18803,2401,179,2059,430,1326,36868,53866,380,61111,818,23093,21774,3552,598,3458,589,15439,3651,6138,125944,12,280,120747,184740,5888,16856,417765,6354,109990,5315,618,1271,18669,8677,328,511,4813,157765,171170,116,352,3433,7902,188,1087,125059,7616
bang,0,825,175,137,2581,3273,55,352,54,15,4707,13345,21,9727,4009,980,2655,602,66,437,22,4409,3739,1537,513994,4,88,6243,50433,7336,34915,8363,1579,169186,9236,162,244,49422,1277,44,51,2018,20893,1677,13,57,416,30582,57,319,17600,2110
bank,0,13131,323,2089,13165,1077,707,1138,195,90,2508,47654,139,43689,839,6529,16707,1130,220,1518,172,17117,2285,5356,155024,1,48,29058,144185,7170,28678,359729,27361,186291,5822,331,1566,5223,6929,114,94,3417,242348,1342,130,541,3001,7210,444,436,112124,9791
bargain,0,562,15,21,892,721,8,53,59,1,244,4218,6,13777,1001,238,528,24,32,850,16,3181,2857,1283,48865,0,10,2150,12336,156,2298,6739,212,9511,295,2,2,855,1365,10,13,188,13365,205,8,39,263,552,19,75,45341,537
barge,0,71,19,130,265,45,186,65,4,4,252,653,6,928,63,433,248,68,25,53,4,244,412,36,1462,5,61,711,37498,20460,520,1514,191,2393,89,332,56,809,410,762,8,2629,3111,21,7,20,69,362,9,25,2251,135
base,0,11134,1534,2899,26474,9317,1872,3019,1905,1109,13019,109171,489,83397,4085,9122,35422,5527,1302,4521,1404,52121,10712,14523,376333,2,240,65748,355104,19732,188956,827247,18876,235971,16434,1047,2625,20344,16945,622,327,7214,424664,3688,469,1450,8963,19814,3128,2354,250889,27939
bash,0,910,17,39,2439,2329,19,129,21,62,1052,5496,39,13527,2348,1524,1066,41,9,112,22,1317,2281,626,11094,0,60,3712,15782,5989,42860,2178,791,86202,4590,94,858,4331,1104,76,24,3223,13063,648,21,193,117,1324,90,135,9531,1053
bat,0,1472,971,548,6234,6297,306,357,83,54,7487,16966,315,34837,3728,3208,5977,1710,259,663,186,10244,5377,2018,96728,2,118,14361,73592,4336,14517,10977,4627,28993,2250,270,51,32540,4826,124,125,2214,66400,560,121,532,1609,4025,141,484,37980,5778
batten,0,5,3,14,9,3,0,7,0,0,4,48,0,38,3,3,7,1,2,6,0,13,8701,8,42,0,1,22,94,12,28,36,6,217,1,6,1,24,11,0,2,1,156,1,0,0,4,39,5,0,48,6
batter,0,287,28,45,1283,383,102,138,122,11,462,2396,71,3092,335,344,2144,225,25,401,7,1136,1850,307,6560,0,7,3644,15811,7587,2901,3401,1578,7622,471,899,17,3943,1265,28,13,444,14568,148,5,22,99,7480,24,312,6917,499
bawl,0,357,0,0,72,2,0,7,0,0,8,206,0,830,25,31,27,3,0,7,0,31,7,104,607,0,1,54,781,107,72,97,0,230,12,1,0,521,320,0,0,81,170,14,1,2,2,65,3,3,159,18
be,68,2625731,306682,24618,299672,763944,149694,127556,163582,184010,2732311,5725595,2351,5547005,178388,2389834,241269,298904,131281,386338,143913,399666,1117511,1997248,3355971,1007,24139,1408849,22094439,411247,2758952,1617641,724708,11044659,5644935,95680,1294817,2578626,1494321,55558,27941,168638,7096591,398789,9639,40435,788190,2021358,124481,1200508,3536170,373416
beam,0,565,1059,1614,1390,790,45,408,31,25,1014,7273,28,13372,547,2823,1812,524,249,935,23,2429,6387,956,15080,6,86,14017,24597,4439,6471,68246,2605,23479,1366,1020,26,6133,3070,65,41,2758,30017,180,150,517,862,5250,89,123,15164,1490
bear,1,4137,206,393,4334,4308,68,439,131,158,2248,19723,93,19554,2364,3220,5479,1795,118,379,56,8722,43828,3018,40106,90,48,19652,588836,5072,89294,17333,3596,58351,6770,375,266,20838,3382,76,197,6206,178747,357,79,298,1200,5029,1916,515,272540,3750
beat,0,4635,272,411,8864,3046,361,894,118,267,65941,32908,167,46347,2327,21954,10611,3008,190,929,317,200920,200653,13750,90412,16,208,20164,179082,18520,1040774,80495,64884,162194,56871,140,378,253255,15439,517,1587,3895,169273,2922,56,283,1421,957850,1129,4121,74963,12980
